first_name,last_name,twitter_handle,is_current_host,is_former_host
Ify,Nwadiwe,IfyNwadiwe,true,false
Drea,Clark,TheDreaClark,true,false
Alonso,Duralde,ADuralde,true,false
Justin,Kirkland,justinkirkland4,false,false
Ben,Acker,,false,false
Jordan,Crucchiola,JorCru,false,false
Ricky,Carmona,RickyCarmona,false,true
Michael,Varrati,MichaelVarrati,false,false
Inkoo,Kang,inkookang,false,false
Halle,Kiefer,HalleKiefer,false,false
Alison,Leiby,AlisonLeiby,false,false
Cody,Heller,codyhe11er,false,false
Myq,Kaplan,myqkaplan,false,false
Nancy Wang,Yuen,nancywyuen,false,false
Cody,Ziglar,yayforzig,false,false
Richard,Linklater,,false,false
Dave,Schilling,dave_schilling,false,false
Michelle,Biloon,biloon,false,false
Nicole,Byer,nicolebyer,false,false
Paul,Scheer,paulscheer,false,false
Erinn,Hayes,hayeslady,false,false
Joelle,Monique,JoelleMonique,false,false
Leonard,Maltin,leonardmaltin,false,false
Demi,Adejuyigbe,electrolemon,false,false
Allegra,Ringo,allegraringo,false,false
Jon,Gabrus,Gabrus,false,false
Matt,Apodaca,mattapodaca,false,false
Mary Jo,Pehl,MaryJoPehl,false,false
Elizabeth,Laime,TotallyLaime,false,false
Dani,Fernandez,,false,false
Ann,Friedman,annfriedman,false,false
Kristen,Lopez,Journeys_Film,false,false
Barry,Sonnenfeld,,false,false
Lucé,Tomlin-Brenner,LTBcomedy,false,false
Moujan,Zolfaghari,,false,false
Sarah,Kuhn,sarahkuhn,false,false
Benjamin,Kasulke,BenKasulke,false,false
The Third,Wife,,false,false
Todd,Berger,thetoddberger,false,false
Casey,O’Brien,,false,false
Artemis,Pebdani,Shmartemis,false,false
Matthew,D'Ambrosio,drmattdambrosio,false,false
Cecil,Castellucci,misscecil,false,false
Ira,Madison,ira,false,false
Louis,Virtel,louisvirtel,false,false
Amber,Benson,amber_benson,false,false
Danielle,Radford,,false,false
Ryan,Stanger,stonestanger?lang=en,false,false
Jen,Yamato,jenyamato,false,false
William,Bibbiani,WilliamBibbiani,false,false
April,Wolfe,,false,true
Ben,Mekler,benmekler,false,false
Steve,Hernandez,BigHern,false,false
Laura,Sirikul,lsirikul?lang=en,false,false
Yolanda,Machado,SassyMamainLA,false,false
Julia,Prescott,juliaprescott,false,false
Atsuko,Okatsuka,AtsukoComedy,false,false
Ellington,Wells,drawdifferent,false,false
Dwayne,Perkins,funnydp,false,false
Brendan,Hay,B_Hay,false,false
Brodie,Reed,ayobrobro,false,false
Kevin,Avery,KevinAvery,false,false
Brian,Raftery,BrianRaftery,false,false
Janet,Varney,janetvarney,false,false
Mallory,O'Meara,malloryomeara,false,false
Emily,Fleming,FlemilyEming,false,false
Jared,Logan,JaredLogan,false,false
Graham,Elwood,grahamelwood?lang=en,false,false
Cristela,Alonzo,cristela9,false,false
Jenny,Jaffe,jennyjaffe,false,false
Holly,Walker,HollyelizWalker,false,false
CJ,Sullivan,CJSullivan_,false,false
Katie,Walsh,katiewalshstx,false,false
Caitlin,Durante,caitlindurante,false,false
Jamie,Loftus,,false,false
Betsy,Sodaro,BirdySoderdy,false,false
Alison,Becker,thealisonbecker,false,false
Oliver,Wang,oliverswang,false,false
Riley,Silverman,rileyjsilverman,false,false
Helen,Hong,funnyhelenhong,false,false
Jenny,Yang,jennyyangtv,false,false
Baron,Vaughn,barvonblaq,false,false
Brandon,Johnson,BrandonJohnsn?lang=en,false,false
Tre'vell,Anderson,TrevellAnderson,false,false
Dave,Holmes,DaveHolmes,false,false
Tavia,Nyong'o,shadowstudy?lang=en,false,false
Morgan,Rhodes,morganrhodes,false,false
Matt,Piwowarczyk,peevovarcheck,false,false
Jordan,Morris,Jordan_Morris,false,false
Bowen,Yang,BowenYang,false,false
Matt,Rogers,MattRogersTho,false,false
Benjamin,Partridge,benpartridge,false,false
Freddie,Wong,fwong,false,false
LaToya,Ferguson,lafergs,false,false
Dave,White,dlelandwhite,false,false
Johnnie,Jungleguts,TopNotchGaymer,false,false
Renee,Colvert,,false,false
Grace,Baldridge,GraceBaldridge,false,false
Maggie,Mackay,,false,false
Rhea,Butcher,RheaButcher?lang=en,false,false
Mark,Mangini,mark_mangini?lang=en,false,false
Wynter,Mitchell,,false,false
Andy,Richter,AndyRichter,false,false
Elliot,Kalen,,false,false
Josie,Long,JosieLong,false,false
